,Iteration,x,f(x)
0,1,2.5,-3.3249999999999997
1,2,2.75,0.8468750000000007
2,3,2.625,-1.3621093749999993
3,4,2.6875,-0.2891113281249993
4,5,2.71875,0.2709167480468757
5,6,2.703125,-0.0110771179199211
6,7,2.7109375,0.1294234275817878
7,8,2.70703125,0.0590492367744452
8,9,2.705078125,0.0239551022648818
9,10,2.7041015625,0.006431255675853
10,11,2.70361328125,-0.0023248648969449
11,12,2.703857421875,0.0020527119020705
12,13,2.7037353515625,-0.000136197363826
13,14,2.70379638671875,0.0009582270518428
14,15,2.703765869140625,0.0004110072897738
15,16,2.7037506103515625,0.0001374030744258
16,17,2.7037429809570312,6.023831637946842e-07
17,18,2.7037391662597656,-6.779760836295168e-05
18,19,2.7037410736083984,-3.359764210841831e-05
19,20,2.703742027282715,-1.649763684952177e-05
